127.0.0.1 - - [08/Jun/2020:10:14:25 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:14:26 +0900] "GET /practice/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:14:27 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:14:29 +0900] "GET /practice/test03.html HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:14:29 +0900] "GET /practice/font/Goyang.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:02 +0900] "GET /UI03_JS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:02 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:04 +0900] "GET /UI03_JS/js04_rolling.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:04 +0900] "GET /UI03_JS/resources/img/arrowleft.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:04 +0900] "GET /UI03_JS/resources/img/img01.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:04 +0900] "GET /UI03_JS/resources/img/arrowright.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:05 +0900] "GET /UI03_JS/resources/img/img06.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:06 +0900] "GET /UI03_JS/resources/img/img05.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:07 +0900] "GET /UI03_JS/resources/img/img04.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:07 +0900] "GET /UI03_JS/resources/img/img03.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:19:08 +0900] "GET /UI03_JS/resources/img/img02.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:22:35 +0900] "GET /UI03_JS/js04_rolling.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:22:36 +0900] "GET /UI03_JS/js04_rolling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:22:36 +0900] "GET /UI03_JS/js04_rolling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:22:36 +0900] "GET /UI03_JS/js04_rolling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:22:36 +0900] "GET /UI03_JS/js04_rolling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:22:40 +0900] "GET /UI03_JS/resources/img/img07.PNG HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:22:44 +0900] "GET /UI03_JS/resources/img/img07.PNG HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:35:10 +0900] "GET /UI03_JS/js04_rolling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:35:12 +0900] "GET /UI03_JS/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:35:12 +0900] "GET /UI03_JS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:35:12 +0900] "GET /UI03_JS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:35:13 +0900] "GET /UI03_JS/js05_dom.html HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:43:29 +0900] "GET /UI03_JS/js05_dom.html HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:43:30 +0900] "GET /UI03_JS/js05_dom.html HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:43:30 +0900] "GET /UI03_JS/js05_dom.html HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [08/Jun/2020:10:43:51 +0900] "GET /UI03_JS/js05_dom.html HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [08/Jun/2020:11:11:52 +0900] "GET /UI03_JS/js05_dom.html HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [08/Jun/2020:11:11:52 +0900] "GET /UI03_JS/js05_dom.html HTTP/1.1" 200 1462
