127.0.0.1 - - [18/Jun/2020:09:06:21 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:06:22 +0900] "GET /practice/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:25:40 +0900] "GET /UI04_JQUERY/ HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:25:43 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:25:43 +0900] "GET /UI04_JQUERY/resources/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:27:01 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:27:01 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:27:02 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:27:04 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:27:04 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:27:04 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:27:04 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:27:05 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:27:05 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:28:14 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:28:14 +0900] "GET /UI04_JQUERY/resources/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:28:14 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 200 1536
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:28:14 +0900] "GET /UI04_JQUERY/resources/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [18/Jun/2020:09:28:14 +0900] "GET /UI04_JQUERY/jq13_effect03.html HTTP/1.1" 200 1536
