127.0.0.1 - - [05/Jun/2020:09:38:38 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:38:39 +0900] "GET /practice/ HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:38:41 +0900] "GET /practice/test04.html HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:38:41 +0900] "GET /practice/resource/images/logo.gif HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:40:35 +0900] "GET /practice/test05.html HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:41:45 +0900] "GET /practice/test05.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:42:34 +0900] "GET /practice/test05.html HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:42:48 +0900] "GET /practice/test05.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:43:29 +0900] "GET /practice/test05.html HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:43:29 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:43:29 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:44:23 +0900] "GET /practice/test05.html HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:44:24 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:44:25 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:20 +0900] "GET /practice/test05.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:21 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:31 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:31 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:31 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:31 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:32 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:32 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:32 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:32 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:33 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:45:42 +0900] "GET /practice/test05.html HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:46:53 +0900] "GET /practice/test05.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:35 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:35 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:35 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:36 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:36 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:36 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:37 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:37 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:37 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:09:47:38 +0900] "GET /practice/test05.html HTTP/1.1" 304 -
